feature,raw_feature,importance
sttl,numeric__sttl,0.08339084572725387
ct_state_ttl,numeric__ct_state_ttl,0.05798624066556459
sload,numeric__sload,0.05278150839990266
rate,numeric__rate,0.052005666334109614
dload,numeric__dload,0.05046467167726589
dpkts,numeric__dpkts,0.03838639845058458
sbytes,numeric__sbytes,0.03771102894372912
dttl,numeric__dttl,0.03486621336999917
smean,numeric__smean,0.034488723700942275
ct_srv_dst,numeric__ct_srv_dst,0.03405818897906187
dbytes,numeric__dbytes,0.0329040344719294
ct_dst_src_ltm,numeric__ct_dst_src_ltm,0.03241922774713094
dur,numeric__dur,0.030462114316898534
synack,numeric__synack,0.030230057328789996
ct_srv_src,numeric__ct_srv_src,0.030070183052851446
ackdat,numeric__ackdat,0.029956978177005128
tcprtt,numeric__tcprtt,0.02982303289996911
state_INT,categorical__state_INT,0.02670747492843776
sinpkt,numeric__sinpkt,0.025483251023163938
dinpkt,numeric__dinpkt,0.021918585426676854
dmean,numeric__dmean,0.021886529442533494
djit,numeric__djit,0.01943936930535601
sjit,numeric__sjit,0.01935727627716109
ct_dst_sport_ltm,numeric__ct_dst_sport_ltm,0.016671650505276712
ct_src_ltm,numeric__ct_src_ltm,0.014798681208560958
sloss,numeric__sloss,0.011403401516725548
spkts,numeric__spkts,0.011136831533415877
dloss,numeric__dloss,0.010754263828475087
state_CON,categorical__state_CON,0.010512185272292467
swin,numeric__swin,0.009607918365479208
ct_src_dport_ltm,numeric__ct_src_dport_ltm,0.009511234100410748
stcpb,numeric__stcpb,0.008883396101564266
ct_dst_ltm,numeric__ct_dst_ltm,0.00871218207191363
dtcpb,numeric__dtcpb,0.008110257188187224
proto_arp,categorical__proto_arp,0.007807020991651387
service_-,categorical__service_-,0.0073126075740099685
is_sm_ips_ports,numeric__is_sm_ips_ports,0.005618497515695138
proto_tcp,categorical__proto_tcp,0.004917365760879071
proto_udp,categorical__proto_udp,0.004387475522232726
service_dns,categorical__service_dns,0.0030522188321215602
response_body_len,numeric__response_body_len,0.002683171391191342
state_FIN,categorical__state_FIN,0.0022566410527291745
ct_flw_http_mthd,numeric__ct_flw_http_mthd,0.0022199495147822504
service_http,categorical__service_http,0.002202828363279532
dwin,numeric__dwin,0.0019242253011657448
trans_depth,numeric__trans_depth,0.0017654145034007808
proto_unas,categorical__proto_unas,0.001215754093683506
state_REQ,categorical__state_REQ,0.0008715053295084767
proto_sctp,categorical__proto_sctp,0.0007839910921559538
proto_ospf,categorical__proto_ospf,0.000755580215497208
service_smtp,categorical__service_smtp,0.0006830914786504983
service_pop3,categorical__service_pop3,0.00033778556873212244
service_ftp,categorical__service_ftp,0.00030433367237750984
proto_igmp,categorical__proto_igmp,0.00023141119165581304
service_ftp-data,categorical__service_ftp-data,0.00022363978809337455
service_ssh,categorical__service_ssh,0.00021993898969598395
is_ftp_login,numeric__is_ftp_login,0.00019328431377712156
ct_ftp_cmd,numeric__ct_ftp_cmd,0.00018562753892346751
proto_mobile,categorical__proto_mobile,0.00012159239079275997
proto_swipe,categorical__proto_swipe,9.549022572755593e-05
proto_sun-nd,categorical__proto_sun-nd,9.273124253182327e-05
proto_icmp,categorical__proto_icmp,7.833583243698874e-05
proto_ipv6,categorical__proto_ipv6,7.738408442500583e-05
state_ECO,categorical__state_ECO,6.299793485162068e-05
state_RST,categorical__state_RST,5.295925184231892e-05
service_dhcp,categorical__service_dhcp,4.369381401236755e-05
proto_sep,categorical__proto_sep,3.700936877379544e-05
proto_cbt,categorical__proto_cbt,3.618706069564153e-05
service_radius,categorical__service_radius,2.7891927370651145e-05
proto_any,categorical__proto_any,2.4148689144052445e-05
proto_rvd,categorical__proto_rvd,1.4713620447599515e-05
proto_pim,categorical__proto_pim,1.3130474766016019e-05
proto_rsvp,categorical__proto_rsvp,1.0972755044071771e-05
service_snmp,categorical__service_snmp,9.552880465597265e-06
proto_st2,categorical__proto_st2,9.219295686532138e-06
service_ssl,categorical__service_ssl,6.488894080899376e-06
proto_ipcv,categorical__proto_ipcv,5.860974258176658e-06
proto_i-nlsp,categorical__proto_i-nlsp,5.283060348947838e-06
state_URN,categorical__state_URN,4.8515925306401766e-06
proto_mux,categorical__proto_mux,4.612807443178466e-06
proto_ptp,categorical__proto_ptp,4.550399851455604e-06
proto_chaos,categorical__proto_chaos,4.395200094217448e-06
proto_il,categorical__proto_il,4.2478836679342474e-06
service_irc,categorical__service_irc,3.8758484301998735e-06
proto_gre,categorical__proto_gre,3.454047250815255e-06
proto_emcon,categorical__proto_emcon,3.3999803758697136e-06
proto_netblt,categorical__proto_netblt,3.3955329558108097e-06
proto_ip,categorical__proto_ip,3.3230004832631053e-06
proto_egp,categorical__proto_egp,3.2861080921979443e-06
proto_rtp,categorical__proto_rtp,3.247875617278166e-06
state_PAR,categorical__state_PAR,3.198147078339268e-06
proto_visa,categorical__proto_visa,2.898406428045871e-06
proto_pgm,categorical__proto_pgm,2.8386278892669616e-06
state_no,categorical__state_no,2.7204689917845684e-06
proto_ipv6-frag,categorical__proto_ipv6-frag,2.6983604388047547e-06
proto_bna,categorical__proto_bna,2.41324998341601e-06
proto_iso-tp4,categorical__proto_iso-tp4,2.3098116946179645e-06
proto_uti,categorical__proto_uti,2.2348009992406566e-06
proto_idpr-cmtp,categorical__proto_idpr-cmtp,2.1465393099277847e-06
proto_nvp,categorical__proto_nvp,2.089938365734817e-06
proto_etherip,categorical__proto_etherip,2.0676945585465104e-06
proto_mhrp,categorical__proto_mhrp,1.9358060873650965e-06
proto_nsfnet-igp,categorical__proto_nsfnet-igp,1.8677010815048432e-06
proto_ipv6-route,categorical__proto_ipv6-route,1.8066583043188822e-06
proto_xnet,categorical__proto_xnet,1.7466472338276563e-06
proto_vrrp,categorical__proto_vrrp,1.7331664529741354e-06
proto_compaq-peer,categorical__proto_compaq-peer,1.6626155995463732e-06
proto_ax.25,categorical__proto_ax.25,1.6540932693650574e-06
proto_ddx,categorical__proto_ddx,1.4903628616777047e-06
proto_ddp,categorical__proto_ddp,1.4813248428304868e-06
proto_fire,categorical__proto_fire,1.3549209832007956e-06
proto_mtp,categorical__proto_mtp,1.2543078545278556e-06
proto_xtp,categorical__proto_xtp,1.249179284434401e-06
proto_cphb,categorical__proto_cphb,1.171548197071891e-06
proto_wb-mon,categorical__proto_wb-mon,1.0525860116828996e-06
proto_pup,categorical__proto_pup,1.0212397818193276e-06
proto_sm,categorical__proto_sm,1.0135690087183205e-06
proto_iatp,categorical__proto_iatp,8.585277588567149e-07
proto_ifmp,categorical__proto_ifmp,8.389759439495931e-07
proto_qnx,categorical__proto_qnx,7.853417588155008e-07
proto_narp,categorical__proto_narp,7.726051776071353e-07
proto_micp,categorical__proto_micp,7.596578467539627e-07
proto_tp++,categorical__proto_tp++,6.824169201480715e-07
proto_igp,categorical__proto_igp,6.530037097444187e-07
proto_bbn-rcc,categorical__proto_bbn-rcc,5.857563091567317e-07
proto_argus,categorical__proto_argus,5.848058378618607e-07
proto_cpnx,categorical__proto_cpnx,5.829586906658584e-07
proto_a/n,categorical__proto_a/n,5.325485575538776e-07
proto_trunk-1,categorical__proto_trunk-1,5.254067645860865e-07
proto_xns-idp,categorical__proto_xns-idp,5.089222768716279e-07
proto_wsn,categorical__proto_wsn,5.080170865743834e-07
proto_iplt,categorical__proto_iplt,4.971465984681625e-07
proto_dgp,categorical__proto_dgp,4.871302759528075e-07
proto_trunk-2,categorical__proto_trunk-2,4.670018611886694e-07
proto_leaf-2,categorical__proto_leaf-2,4.4285181567563577e-07
proto_zero,categorical__proto_zero,4.3758967637980024e-07
proto_fc,categorical__proto_fc,4.289058947797826e-07
proto_ib,categorical__proto_ib,4.0972478264209875e-07
