threshold,accuracy,precision_attack,recall_attack,f1_attack,true_negative,false_positive,false_negative,true_positive
0.05,0.7864378370499927,0.7205767793834756,0.9998455836936381,0.8375449262239798,19424,17576,7,45325
0.1,0.8092114852062382,0.7427878311041175,0.9996470484426012,0.8522851231897687,21308,15692,16,45316
0.15,0.811555652723121,0.7452338262628921,0.9994043942468896,0.8538044758539458,21512,15488,27,45305
0.2,0.8150172472428703,0.7488673567247595,0.9990735021618283,0.8560627539930064,21812,15188,42,45290
0.25,0.8194748093086528,0.7535997869259068,0.9986543721874173,0.8589915089417011,22198,14802,61,45271
0.3,0.8261064956517514,0.7608011974235213,0.9979264096002823,0.8633782790835266,22777,14223,94,45238
0.35,0.8353859981538163,0.7712583437185243,0.9966028412600371,0.8695685648018939,23601,13399,154,45178
0.4,0.845066316863431,0.7828465251970965,0.9944630724433071,0.8760566664723372,24495,12505,251,45081
0.45,0.8564470679687121,0.797317198672794,0.991264448954381,0.8837753586846427,25577,11423,396,44936
0.5,0.8689573920225429,0.8141472198475782,0.9874040412953322,0.8924444976124254,26782,10218,571,44761
0.55,0.8818199485011903,0.8329156536375538,0.9824406600194123,0.9015202121414546,28066,8934,796,44536
0.6,0.8934314725744547,0.8521965317919075,0.9756684020118239,0.9097622181997697,29329,7671,1103,44229
0.65,0.9026016615653695,0.8712514675740752,0.9658298773493338,0.9161060835905215,30530,6470,1549,43783
0.7,0.9098892289753681,0.8894024362687701,0.9551089737933469,0.9210853818088988,31616,5384,2035,43297
0.75,0.9160836612738668,0.9090076855932384,0.9418732903908938,0.9251486950586655,32726,4274,2635,42697
0.8,0.9189986882378662,0.9276218284778905,0.9250639724697786,0.9263411347596063,33728,3272,3397,41935
0.85,0.9204319098284992,0.947972738824073,0.9051663284214242,0.9260751323109562,34748,2252,4299,41033
0.9,0.9166545207209833,0.9678910240817319,0.877746404306009,0.9206172925198399,35680,1320,5542,39790
0.95,0.8940023320215712,0.9854645765364314,0.8195755757522281,0.8948972095431936,36452,548,8179,37153
